order_id,order_line_id,order_date,created_at,updated_at,order_status,sales_channel,order_type,brand,manufacturer_id,ptype_group_id,vendor_id,vendor,quantity,gross_revenue,discount_amount,net_revenue,cost,currency,domain,is_promo,is_test_order
ORD-100000,LINE-100000,2024-06-24,2024-06-24 00:12:00,2024-06-24 01:11:00,COMPLETED,WEB,ONLINE,Samsung,11,1,12,Vendor_12,3,3393,0.0,3393.0,2176.69,USD,US,True,True
ORD-100001,LINE-100001,2024-05-25,2024-05-25 01:43:00,2024-05-25 02:08:00,CANCELLED,MOBILE,ONLINE,Samsung,11,1,14,Vendor_14,4,4516,225.8,4290.2,2890.36,EUR,EU,False,False
ORD-100002,LINE-100002,2024-01-15,2024-01-15 00:40:00,2024-01-15 01:16:00,COMPLETED,WEB,ONLINE,Samsung,11,1,6,Vendor_6,1,103,0.0,103.0,72.11,CAD,CA,False,False
ORD-100003,LINE-100003,2024-01-06,2024-01-06 00:21:00,2024-01-06 01:08:00,COMPLETED,MARKETPLACE,ONLINE,Samsung,11,1,20,Vendor_20,1,851,42.55,808.45,592.84,CAD,CA,False,True
ORD-100004,LINE-100004,2024-04-27,2024-04-27 01:25:00,2024-04-27 01:33:00,CANCELLED,WEB,ONLINE,Apple,10,1,19,Vendor_19,3,246,0.0,246.0,148.57,USD,US,True,True
ORD-100005,LINE-100005,2024-04-20,2024-04-20 01:28:00,2024-04-20 01:28:00,RETURNED,MARKETPLACE,ONLINE,Samsung,11,1,27,Vendor_27,3,3825,0.0,3825.0,2338.19,CAD,CA,True,False
ORD-100006,LINE-100006,2024-01-24,2024-01-24 01:27:00,2024-01-24 02:08:00,COMPLETED,STORE,ONLINE,Samsung,11,2,4,Vendor_4,2,2580,129.0,2451.0,1952.38,EUR,EU,False,False
ORD-100007,LINE-100007,2024-04-20,2024-04-20 01:44:00,2024-04-20 01:48:00,COMPLETED,STORE,ONLINE,Adidas,21,1,38,Vendor_38,2,1104,0.0,1104.0,765.1,CAD,CA,True,False
ORD-100008,LINE-100008,2024-03-18,2024-03-18 01:55:00,2024-03-18 02:33:00,RETURNED,WEB,OFFLINE,Apple,10,1,30,Vendor_30,4,5300,265.0,5035.0,3652.46,CAD,CA,False,False
ORD-100009,LINE-100009,2024-06-29,2024-06-29 00:55:00,2024-06-29 01:06:00,CANCELLED,MOBILE,ONLINE,Apple,10,2,22,Vendor_22,4,2252,112.6,2139.4,1336.65,EUR,EU,False,False
ORD-100010,LINE-100010,2024-02-25,2024-02-25 01:56:00,2024-02-25 01:59:00,RETURNED,MARKETPLACE,OFFLINE,Samsung,11,2,13,Vendor_13,2,1018,50.9,967.1,625.21,CAD,CA,False,False
ORD-100011,LINE-100011,2024-06-18,2024-06-18 01:30:00,2024-06-18 01:45:00,CANCELLED,STORE,ONLINE,Apple,10,2,5,Vendor_5,2,2678,267.8,2410.2,1652.7,CAD,CA,False,False
ORD-100012,LINE-100012,2024-02-03,2024-02-03 01:03:00,2024-02-03 01:32:00,CANCELLED,MOBILE,ONLINE,Adidas,21,2,21,Vendor_21,2,500,25.0,475.0,345.42,EUR,EU,False,True
ORD-100013,LINE-100013,2024-03-28,2024-03-28 00:01:00,2024-03-28 00:04:00,RETURNED,MOBILE,ONLINE,Apple,10,1,50,Vendor_50,4,4484,0.0,4484.0,3378.36,USD,US,True,False
ORD-100014,LINE-100014,2024-02-28,2024-02-28 01:19:00,2024-02-28 01:43:00,CANCELLED,WEB,ONLINE,Apple,10,1,44,Vendor_44,2,1940,97.0,1843.0,1163.51,EUR,EU,True,True
ORD-100015,LINE-100015,2024-03-27,2024-03-27 01:12:00,2024-03-27 01:34:00,COMPLETED,MOBILE,ONLINE,Samsung,11,1,42,Vendor_42,2,182,0.0,182.0,111.77,EUR,EU,True,False
ORD-100016,LINE-100016,2024-05-19,2024-05-19 01:33:00,2024-05-19 01:54:00,COMPLETED,STORE,OFFLINE,Samsung,11,1,18,Vendor_18,1,151,7.55,143.45,106.07,CAD,CA,True,True
ORD-100017,LINE-100017,2024-06-26,2024-06-26 01:04:00,2024-06-26 01:32:00,COMPLETED,MARKETPLACE,ONLINE,Adidas,21,1,15,Vendor_15,1,1222,122.2,1099.8,684.44,USD,US,True,False
ORD-100018,LINE-100018,2024-02-02,2024-02-02 01:54:00,2024-02-02 01:56:00,COMPLETED,STORE,ONLINE,Adidas,21,2,15,Vendor_15,1,287,28.7,258.3,206.2,CAD,CA,True,False
ORD-100019,LINE-100019,2024-01-19,2024-01-19 00:21:00,2024-01-19 00:46:00,RETURNED,WEB,OFFLINE,Nike,20,1,12,Vendor_12,4,2580,258.0,2322.0,1837.78,USD,US,True,False
ORD-100020,LINE-100020,2024-04-19,2024-04-19 01:17:00,2024-04-19 01:41:00,RETURNED,WEB,ONLINE,Adidas,21,1,47,Vendor_47,2,1334,66.7,1267.3,961.17,CAD,CA,True,False
ORD-100021,LINE-100021,2024-06-12,2024-06-12 01:35:00,2024-06-12 02:21:00,RETURNED,WEB,OFFLINE,Samsung,11,2,14,Vendor_14,2,1972,197.2,1774.8,1324.49,USD,US,False,False
ORD-100022,LINE-100022,2024-03-05,2024-03-05 01:15:00,2024-03-05 01:25:00,COMPLETED,MARKETPLACE,ONLINE,Nike,20,1,18,Vendor_18,4,5028,0.0,5028.0,3902.13,USD,US,True,False
ORD-100023,LINE-100023,2024-05-05,2024-05-05 01:07:00,2024-05-05 02:01:00,COMPLETED,MARKETPLACE,OFFLINE,Nike,20,1,4,Vendor_4,1,712,71.2,640.8,481.04,USD,US,True,False
ORD-100024,LINE-100024,2024-01-18,2024-01-18 01:20:00,2024-01-18 02:16:00,CANCELLED,STORE,ONLINE,Samsung,11,2,18,Vendor_18,2,174,0.0,174.0,108.03,EUR,EU,True,False
ORD-100025,LINE-100025,2024-03-23,2024-03-23 00:25:00,2024-03-23 00:47:00,RETURNED,MARKETPLACE,ONLINE,Adidas,21,1,9,Vendor_9,1,197,9.85,187.15,124.02,CAD,CA,False,False
ORD-100026,LINE-100026,2024-03-08,2024-03-08 01:17:00,2024-03-08 01:23:00,COMPLETED,MOBILE,OFFLINE,Nike,20,2,19,Vendor_19,2,2120,106.0,2014.0,1358.45,CAD,CA,True,False
ORD-100027,LINE-100027,2024-06-07,2024-06-07 00:51:00,2024-06-07 00:58:00,RETURNED,MARKETPLACE,OFFLINE,Adidas,21,2,10,Vendor_10,1,630,63.0,567.0,378.09,CAD,CA,False,False
ORD-100028,LINE-100028,2024-05-25,2024-05-25 00:30:00,2024-05-25 01:11:00,COMPLETED,WEB,OFFLINE,Apple,10,1,7,Vendor_7,4,2144,214.4,1929.6,1532.54,CAD,CA,True,False
ORD-100029,LINE-100029,2024-05-11,2024-05-11 01:48:00,2024-05-11 01:53:00,COMPLETED,MARKETPLACE,ONLINE,Adidas,21,2,2,Vendor_2,2,1380,0.0,1380.0,932.35,CAD,CA,True,False
ORD-100030,LINE-100030,2024-01-31,2024-01-31 01:54:00,2024-01-31 02:25:00,COMPLETED,WEB,OFFLINE,Adidas,21,2,27,Vendor_27,2,1006,0.0,1006.0,759.37,CAD,CA,False,False
ORD-100031,LINE-100031,2024-01-15,2024-01-15 00:42:00,2024-01-15 01:04:00,CANCELLED,WEB,ONLINE,Samsung,11,2,2,Vendor_2,1,266,13.3,252.7,190.97,USD,US,True,True
ORD-100032,LINE-100032,2024-06-16,2024-06-16 01:19:00,2024-06-16 02:01:00,RETURNED,WEB,ONLINE,Adidas,21,2,50,Vendor_50,2,1972,197.2,1774.8,1203.78,USD,US,False,False
ORD-100033,LINE-100033,2024-02-13,2024-02-13 00:03:00,2024-02-13 00:05:00,RETURNED,MARKETPLACE,OFFLINE,Apple,10,1,35,Vendor_35,2,2340,0.0,2340.0,1464.14,EUR,EU,True,True
ORD-100034,LINE-100034,2024-04-14,2024-04-14 01:00:00,2024-04-14 01:25:00,CANCELLED,MOBILE,OFFLINE,Nike,20,1,22,Vendor_22,2,2610,130.5,2479.5,1787.99,EUR,EU,True,True
ORD-100035,LINE-100035,2024-02-16,2024-02-16 00:10:00,2024-02-16 01:06:00,COMPLETED,STORE,OFFLINE,Adidas,21,1,32,Vendor_32,1,494,0.0,494.0,331.65,USD,US,False,False
ORD-100036,LINE-100036,2024-06-20,2024-06-20 01:38:00,2024-06-20 01:46:00,RETURNED,STORE,OFFLINE,Adidas,21,1,49,Vendor_49,3,2505,0.0,2505.0,1720.46,CAD,CA,True,False
ORD-100037,LINE-100037,2024-03-12,2024-03-12 01:13:00,2024-03-12 02:06:00,CANCELLED,WEB,OFFLINE,Samsung,11,2,7,Vendor_7,4,5136,0.0,5136.0,4036.7,USD,US,False,False
ORD-100038,LINE-100038,2024-02-17,2024-02-17 00:07:00,2024-02-17 00:37:00,RETURNED,MARKETPLACE,ONLINE,Apple,10,1,17,Vendor_17,4,5444,544.4,4899.6,3763.05,CAD,CA,False,False
ORD-100039,LINE-100039,2024-04-08,2024-04-08 00:35:00,2024-04-08 01:09:00,RETURNED,MOBILE,OFFLINE,Samsung,11,1,10,Vendor_10,1,624,62.4,561.6,424.25,EUR,EU,False,False
ORD-100040,LINE-100040,2024-01-29,2024-01-29 01:02:00,2024-01-29 01:19:00,RETURNED,WEB,OFFLINE,Nike,20,2,50,Vendor_50,2,2152,107.6,2044.4,1304.43,USD,US,False,False
ORD-100041,LINE-100041,2024-04-27,2024-04-27 00:19:00,2024-04-27 00:41:00,RETURNED,STORE,OFFLINE,Adidas,21,1,25,Vendor_25,2,656,65.6,590.4,418.16,USD,US,False,True
ORD-100042,LINE-100042,2024-05-23,2024-05-23 00:37:00,2024-05-23 01:21:00,COMPLETED,STORE,OFFLINE,Apple,10,2,45,Vendor_45,3,1410,141.0,1269.0,787.95,EUR,EU,False,True
ORD-100043,LINE-100043,2024-06-25,2024-06-25 00:47:00,2024-06-25 01:04:00,COMPLETED,MARKETPLACE,OFFLINE,Samsung,11,2,10,Vendor_10,1,1322,0.0,1322.0,880.57,EUR,EU,True,True
ORD-100044,LINE-100044,2024-02-05,2024-02-05 01:29:00,2024-02-05 02:04:00,COMPLETED,WEB,OFFLINE,Samsung,11,2,43,Vendor_43,2,2450,0.0,2450.0,1583.16,EUR,EU,True,False
ORD-100045,LINE-100045,2024-02-08,2024-02-08 00:15:00,2024-02-08 00:29:00,RETURNED,MOBILE,OFFLINE,Samsung,11,2,20,Vendor_20,3,1653,82.65,1570.35,1170.26,USD,US,False,False
ORD-100046,LINE-100046,2024-04-09,2024-04-09 00:06:00,2024-04-09 00:45:00,RETURNED,MOBILE,OFFLINE,Samsung,11,2,17,Vendor_17,3,3729,372.9,3356.1,2439.82,USD,US,False,True
ORD-100047,LINE-100047,2024-05-11,2024-05-11 00:05:00,2024-05-11 00:54:00,COMPLETED,MARKETPLACE,ONLINE,Adidas,21,2,2,Vendor_2,2,1396,69.8,1326.2,859.03,EUR,EU,False,False
ORD-100048,LINE-100048,2024-05-05,2024-05-05 00:09:00,2024-05-05 00:31:00,CANCELLED,MARKETPLACE,OFFLINE,Samsung,11,1,49,Vendor_49,4,5168,0.0,5168.0,3823.55,EUR,EU,False,False
